Date,Category,Amount,Description
2024-01-05,Food,250,Lunch at canteen
2024-01-06,Transport,60,Bus fare to college
2024-01-06,Entertainment,300,Movie with friends
2024-01-07,Shopping,1200,New shoes
2024-01-08,Food,150,Breakfast
2024-01-09,Utilities,800,Electricity bill
2024-01-10,Transport,70,Auto to tuition
2024-01-11,Food,220,Dinner outside
2024-01-12,Health,500,Doctor visit
2024-01-13,Entertainment,200,Mobile game purchase
2024-01-14,Shopping,950,Jeans
2024-01-15,Food,180,Breakfast
2024-01-16,Transport,50,Bus fare
2024-01-17,Utilities,700,WiFi recharge
2024-01-18,Health,120,Medicines
2024-01-19,Entertainment,350,Concert ticket
2024-01-20,Shopping,1400,New backpack
2024-01-21,Food,270,Lunch
2024-01-22,Transport,60,Bus fare
2024-01-23,Utilities,650,Mobile recharge
2024-01-24,Health,300,Gym membership
2024-01-25,Shopping,500,Accessories
2024-01-26,Entertainment,400,Netflix subscription
2024-01-27,Food,240,Dinner with friends
2024-01-28,Transport,80,Auto fare
2024-01-29,Utilities,900,Gas bill
2024-01-30,Health,200,Medicines
2024-02-01,Food,180,Lunch
2024-02-02,Transport,50,Bus ticket
2024-02-03,Entertainment,150,YouTube Premium
2024-02-04,Shopping,800,New T-shirt
2024-02-05,Food,300,Snacks
2024-02-06,Utilities,700,Electricity bill
2024-02-07,Health,350,Doctor consultation
2024-02-08,Entertainment,250,Online movie
2024-02-09,Shopping,1100,Shoes
2024-02-10,Food,200,Breakfast
2024-02-11,Transport,60,Bus
2024-02-12,Utilities,500,WiFi recharge
2024-02-13,Health,450,Pharmacy
2024-02-14,Shopping,1000,Gift
2024-02-15,Food,230,Lunch
2024-02-16,Transport,70,Auto fare
2024-02-17,Entertainment,300,Games
2024-02-18,Shopping,1200,Clothes
2024-02-19,Utilities,800,Mobile recharge
2024-02-20,Health,400,Medicines
2024-02-21,Food,260,Dinner
2024-02-22,Transport,60,Bus fare
2024-02-23,Entertainment,450,Party
2024-02-24,Shopping,1300,Watch
2024-02-25,Utilities,900,Electricity
2024-02-26,Health,250,First aid
